Position,Name,Artist,Album,Genre,Time,Plays
1,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,68
2,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,106
3,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,99
4,positions,Ariana Grande,Positions,Pop,0:02:52,114
5,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,133
6,willow,Taylor Swift,evermore,Alternative,0:03:34,95
7,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,63
8,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,107
9,Gimme More,Britney Spears,Blackout,Pop,0:04:11,202
10,gold rush,Taylor Swift,evermore,Alternative,0:03:05,92
11,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,81
12,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,63
13,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,79
14,Radar,Britney Spears,Blackout,Pop,0:03:49,103
15,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,68
16,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,106
17,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,16
18,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,75
19,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,74
20,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,51
21,happiness,Taylor Swift,evermore,Alternative,0:05:15,58
22,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,53
23,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,55
24,nasty,Ariana Grande,Positions,Pop,0:03:20,67
25,Freakshow,Britney Spears,Blackout,Pop,0:02:55,221
26,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,100
27,Solar Power,Lorde,Solar Power,Alternative,0:03:12,12
28,august,Taylor Swift,folklore,Alternative,0:04:21,83
29,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,86
30,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,118
31,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,139
32,the 1,Taylor Swift,folklore,Alternative,0:03:30,87
