Position,Name,Artist,Album,Genre,Time,Plays
1,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,64
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,73
3,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,111
4,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,144
5,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,103
6,positions,Ariana Grande,Positions,Pop,0:02:52,117
7,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,58
8,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,57
9,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,118
10,willow,Taylor Swift,evermore,Alternative,0:03:34,95
11,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,68
12,Radar,Britney Spears,Blackout,Pop,0:03:49,110
13,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,74
14,Gimme More,Britney Spears,Blackout,Pop,0:04:11,208
15,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,81
16,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,83
17,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,65
18,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,96
19,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,109
20,gold rush,Taylor Swift,evermore,Alternative,0:03:05,94
21,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,83
22,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,20
23,august,Taylor Swift,folklore,Alternative,0:04:21,89
24,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,62
25,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,87
26,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,153
27,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,76
28,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,54
29,nasty,Ariana Grande,Positions,Pop,0:03:20,71
30,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,56
31,Freakshow,Britney Spears,Blackout,Pop,0:02:55,226
32,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,103
33,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,119
34,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,54
35,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,112
36,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,105
37,Solar Power,Lorde,Solar Power,Alternative,0:03:12,14
38,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,123
39,Bags,Clairo,Immunity,Alternative,0:04:20,107
40,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,152
41,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,88
42,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,102
43,seven,Taylor Swift,folklore,Alternative,0:03:28,94
44,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,52
45,happiness,Taylor Swift,evermore,Alternative,0:05:15,58
46,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,56
47,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,52
48,the 1,Taylor Swift,folklore,Alternative,0:03:30,88
49,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,185
50,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,126
51,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,137
52,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,115
53,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,47
54,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,75
55,Going Home,The Aces,Under My Influence,Alternative,0:03:55,45
56,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,103
57,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,171
58,34+35,Ariana Grande,Positions,Pop,0:02:53,77
59,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,99
60,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,84
61,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,107
62,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,145
63,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,102
64,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,83
65,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,97
66,Everytime,Britney Spears,In the Zone,Pop,0:03:50,120
