Position,Name,Artist,Album,Genre,Time
1,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20
2,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49
3,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02
4,positions,Ariana Grande,Positions,Pop,0:02:52
5,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04
6,willow,Taylor Swift,evermore,Alternative,0:03:34
7,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45
8,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31
9,Gimme More,Britney Spears,Blackout,Pop,0:04:11
10,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35
11,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11
12,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55
13,tolerate it,Taylor Swift,evermore,Alternative,0:04:05
14,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35
15,Radar,Britney Spears,Blackout,Pop,0:03:49
16,gold rush,Taylor Swift,evermore,Alternative,0:03:05
17,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35
18,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33
19,Solar Power,Lorde,Solar Power,Alternative,0:03:12
20,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06
21,august,Taylor Swift,folklore,Alternative,0:04:21
22,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47
23,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23
24,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27
25,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55
26,champagne problems,Taylor Swift,evermore,Alternative,0:04:04
27,happiness,Taylor Swift,evermore,Alternative,0:05:15
28,the 1,Taylor Swift,folklore,Alternative,0:03:30
29,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49
30,Freakshow,Britney Spears,Blackout,Pop,0:02:55
31,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03
32,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57
33,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49
34,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20
35,this is me trying,Taylor Swift,folklore,Alternative,0:03:15
36,seven,Taylor Swift,folklore,Alternative,0:03:28
37,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04
38,nasty,Ariana Grande,Positions,Pop,0:03:20
39,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58
40,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54
41,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05
42,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21
43,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07
44,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53
45,34+35,Ariana Grande,Positions,Pop,0:02:53
46,in my head,Ariana Grande,"thank u, next",Pop,0:03:42
47,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22
48,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond),Soundtrack,0:04:00
49,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49
50,my tears ricochet,Taylor Swift,folklore,Alternative,0:04:15
51,mirrorball,Taylor Swift,folklore,Alternative,0:03:28
52,Everytime,Britney Spears,In the Zone,Pop,0:03:50
53,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06
54,Blue Banisters,Lana Del Rey,Blue Banisters - Single,Alternative,0:04:52
55,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58
56,thế giới không anh,Phùng Khánh Linh,yesteryear,Pop,0:04:19
57,long story short,Taylor Swift,evermore,Alternative,0:03:35
58,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58
59,coney island (feat. The National),Taylor Swift,evermore,Alternative,0:04:35
60,Shadow,Britney Spears,In the Zone,Pop,0:03:44
61,High Horse,Kacey Musgraves,Golden Hour,Country,0:03:33
62,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43
