Position,Name,Artist,Album
1,'tis the damn season,Taylor Swift,evermore
2,drivers license,Olivia Rodrigo,SOUR
3,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club
4,willow,Taylor Swift,evermore
5,positions,Ariana Grande,Positions
6,exile (feat. Bon Iver),Taylor Swift,folklore
7,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club
8,Gimme More,Britney Spears,Blackout
9,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version)
10,tolerate it,Taylor Swift,evermore
11,deja vu,Olivia Rodrigo,SOUR
12,cowboy like me,Taylor Swift,evermore
13,Yosemite,Lana Del Rey,Chemtrails Over the Country Club
14,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club
15,gold rush,Taylor Swift,evermore
16,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club
17,motive,Ariana Grande & Doja Cat,Positions
18,White Dress,Lana Del Rey,Chemtrails Over the Country Club
19,happiness,Taylor Swift,evermore
20,august,Taylor Swift,folklore
21,the 1,Taylor Swift,folklore
22,Radar,Britney Spears,Blackout
23,bad idea,Ariana Grande,"thank u, next"
24,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone
25,Solar Power,Lorde,Solar Power
26,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club
27,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club
28,champagne problems,Taylor Swift,evermore
29,Thinking Bout You,Ariana Grande,Dangerous Woman
30,this is me trying,Taylor Swift,folklore
31,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version)
32,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version)
33,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club
34,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club
35,seven,Taylor Swift,folklore
36,Kyoto,Phoebe Bridgers,Punisher
37,34+35,Ariana Grande,Positions
38,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single
39,Freakshow,Britney Spears,Blackout
40,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single"
41,Cruel Summer,Taylor Swift,Lover
42,nasty,Ariana Grande,Positions
43,I Think He Knows,Taylor Swift,Lover
44,IN A DREAM,Troye Sivan,In A Dream - EP
45,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version)
46,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond)
47,long story short,Taylor Swift,evermore
48,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!
49,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club
50,good 4 u,Olivia Rodrigo,SOUR
51,my tears ricochet,Taylor Swift,folklore
52,Breathe On Me,Britney Spears,In the Zone
53,in my head,Ariana Grande,"thank u, next"
54,Gone,Charli XCX & Christine and the Queens,Charli
55,Everytime,Britney Spears,In the Zone
56,7 rings,Ariana Grande,"thank u, next"
57,Everything Has Changed (feat. Ed Sheeran),Taylor Swift,Red (Deluxe Edition)
58,thế giới không anh,Phùng Khánh Linh,yesteryear
59,Good Time,Owl City & Carly Rae Jepsen,Good Time - Single
60,mirrorball,Taylor Swift,folklore
61,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2
62,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single
63,I Know the End,Phoebe Bridgers,Punisher
64,High Horse,Kacey Musgraves,Golden Hour
65,the last great american dynasty,Taylor Swift,folklore
66,Shadow,Britney Spears,In the Zone
67,Hustler,Josef Salvat,Night Swim (Deluxe)
68,"Love Me Like You Do (From ""Fifty Shades of Grey"")",Ellie Goulding,Delirium (Deluxe)
69,"thank u, next",Ariana Grande,"thank u, next"
70,Lonely Weekend,Kacey Musgraves,Golden Hour
71,Rain On Me,Lady Gaga & Ariana Grande,Chromatica
72,closure,Taylor Swift,evermore
73,False God,Taylor Swift,Lover
74,The Hook Up,Britney Spears,In the Zone
75,Never Get to Hold You (Bonus Track),Carly Rae Jepsen,Emotion (Deluxe Expanded Edition)
76,How I Roll,Britney Spears,Femme Fatale (Deluxe Version)
77,coney island (feat. The National),Taylor Swift,evermore
78,Selfish,Britney Spears,Femme Fatale (Deluxe Version)
79,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe)
80,"no body, no crime (feat. HAIM)",Taylor Swift,evermore
81,Showdown,Britney Spears,In the Zone
82,pov,Ariana Grande,Positions
83,Busy Boy,Chloe x Halle,Ungodly Hour
84,Túy Âm (feat. Xesi & Nhật Nguyễn),Masew,Túy Âm (feat. Xesi & Nhật Nguyễn) - Single
85,brutal,Olivia Rodrigo,SOUR
86,More,Halsey,Manic
87,betty,Taylor Swift,folklore
88,Honeymoon,Lana Del Rey,Honeymoon
89,Bombastic Love,Britney Spears,Britney (Deluxe Version)
90,mpg,Phùng Khánh Linh,yesteryear
91,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe)
92,Hurricane,Halsey,Room 93 - EP
93,Seventeen,Troye Sivan,Bloom
94,Swimming in the Stars,Britney Spears,Swimming in the Stars - Single
95,WILD,Troye Sivan,Blue Neighbourhood (Deluxe)
96,my hair,Ariana Grande,Positions
97,worst behavior,Ariana Grande,Positions
98,test drive,Ariana Grande,Positions
99,Perfect Places,Lorde,Melodrama
100,Cool for the Summer,Demi Lovato,Confident
