Position,Name,Artist,Album,Year,Genre,Time,Plays
1,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,102
2,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:07:13,77
3,I’m to Blame,Tove Lo,Dirt Femme,2022,Pop,0:03:20,74
4,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,86
5,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,62
6,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,206
7,Fingertips,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:48,53
8,River,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:02:42,69
9,Maroon,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:38,34
10,Fishtail,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:02,53
11,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,61
12,Waiting For It,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:19,62
13,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,54
14,Sweet,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:03:35,42
15,Midnight Dreams,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,58
16,Pineapple Slice,Tove Lo & SG Lewis,Dirt Femme,2022,Pop,0:02:56,85
17,Peppers (feat. Tommy Genesis),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:08,47
18,Human Being (feat. Zhala),Robyn,Honey,2018,Pop,0:03:46,65
19,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven - Single,2023,Alternative,0:03:29,60
20,Tastes Like You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,60
21,honey,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:53,57
22,Unwritten,Natasha Bedingfield,Unwritten,2004,Pop,0:04:19,66
23,Let The Light In (feat. Father John Misty),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:38,45
24,Moments,Tove Lo,Queen of the Clouds (Blueprint Edition),2014,Alternative,0:03:22,53
25,Yuck,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:18,58
26,Honey,Robyn,Honey,2018,Pop,0:04:54,52
27,"Paris, Texas (feat. SYML)",Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:03:26,56
28,Call on Me,Tove Lo & SG Lewis,Dirt Femme,2022,Pop,0:03:16,59
29,Margaret (feat. Bleachers),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:39,48
30,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,21
31,I've Loved You For So Long,The Aces,I've Loved You For So Long,2023,Alternative,0:02:56,
32,Love On Top,Beyoncé,4 (Expanded Edition),2011,Pop,0:04:27,63
33,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,138
34,Vigilante Shit,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:44,
35,Boys Like You,ITZY,Boys Like You - Single,2022,Pop,0:03:43,55
36,Question...?,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:30,27
37,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,84
38,Don't Write Me Off,Hugh Grant,Music and Lyrics,2007,Soundtrack,0:02:30,49
39,Taco Truck x VB,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:53,42
40,sao anh không hiểu?,Phùng Khánh Linh,yesteryear (deluxe),2020,Pop,0:03:20,66
41,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,44
42,The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:55,46
43,True Disaster,Tove Lo,Lady Wood,2016,Alternative,0:03:44,41
44,Ever Again,Robyn,Honey,2018,Pop,0:04:24,36
45,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version) - Single,2021,Pop,0:03:40,112
46,October,No Spirit,October - Single,2021,Hip-Hop/Rap,0:02:30,
47,You asked for this,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:04:25,39
48,La Vie En Rose,Lucy Dacus,2019,2019,Alternative,0:02:50,41
49,abcdefu,GAYLE,a study of the human experience volume one - EP,2021,Pop,0:02:48,42
50,True Romance,Tove Lo,Dirt Femme,2022,Pop,0:04:05,87
51,the 1,Taylor Swift,folklore (deluxe version),2020,Alternative,0:03:30,56
52,Temptation,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:03,37
53,Better Man,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:02:52,41
54,Snow On The Beach (feat. Lana Del Rey) [feat. More Lana Del Rey],Taylor Swift,Midnights (The Til Dawn Edition),2023,Pop,0:03:49,27
55,Rose Colored Lenses,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:43,40
56,Habits (Stay High),Tove Lo,Queen of the Clouds (Blueprint Edition),2013,Alternative,0:03:29,97
57,Jon Batiste Interlude,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:03:33,36
58,Bloom,Troye Sivan,Bloom,2018,Pop,0:03:42,106
59,Hot As Ice,Britney Spears,Blackout,2007,Pop,0:03:16,102
60,Holy (Til You Let Me Go),Rina Sawayama,Hold The Girl,2022,Alternative,0:03:19,115
61,Not Strong Enough,boygenius,the record,2023,Alternative,0:03:54,34
62,Anti-Hero,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:20,
63,Karma,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:24,
64,Paris,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:16,
65,Crash,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:09,35
66,Gracious Grind,midnite library,Purposeful Pondering,2023,Hip-Hop/Rap,0:01:37,
67,Emotion,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:17,82
68,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,93
69,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,99
70,Constant Repeat,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:09,32
71,bitches,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:02:17,33
72,Sweet Nothing,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:08,
73,Smoke Signals,Phoebe Bridgers,Stranger in the Alps,2017,Alternative,0:05:24,49
74,Judah Smith Interlude,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:36,27
75,Grapefruit,Tove Lo,Dirt Femme,2022,Pop,0:03:51,132
76,I Wish you Roses,Kali Uchis,Red Moon In Venus,2023,R&B/Soul,0:03:39,27
77,"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",2015,Pop,0:03:27,66
78,Easy Lover (feat. Big Sean),Ellie Goulding,Higher Than Heaven (Deluxe),2022,Pop,0:03:35,32
79,Baby,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:39,28
80,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2022,Pop,0:04:45,180
81,Bad Thing Twice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:13,87
82,Em Gái Mưa,Charmy pham,Em Gái Mưa - Single,2017,Pop,0:05:23,28
83,Pretty Hurts,Beyoncé,BEYONCÉ (Platinum Edition),2013,Pop,0:04:17,27
84,Summer Girl (Bonus Track),HAIM,"Women In Music, Pt. III (Expanded Edition)",2019,Alternative,0:03:25,138
85,Ya'aburnee,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:03:08,27
86,my tears ricochet,Taylor Swift,folklore,2020,Alternative,0:04:15,
87,The Happiest Girl,BLACKPINK,BORN PINK,2022,K-Pop,0:03:42,33
88,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,141
89,Tally,BLACKPINK,BORN PINK,2022,K-Pop,0:03:04,47
90,Way Back Into Love,Hugh Grant & Haley Bennett,Music and Lyrics,2007,Soundtrack,0:04:37,69
91,Handstand,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:25,28
92,Prom,SZA,Ctrl,2017,R&B/Soul,0:03:16,79
93,Bikini Porn,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:02:42,24
94,ALIEN SUPERSTAR,Beyoncé,RENAISSANCE,2022,Pop,0:03:35,75
95,King of My Heart,Taylor Swift,reputation,2017,Pop,0:03:34,131
96,Mastermind,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:11,12
97,Always Get This Way,The Aces,I've Loved You For So Long,2023,Alternative,0:02:54,24
98,killing boys,Halsey,Manic,2020,Alternative,0:02:23,65
99,24,Lana Del Rey,Honeymoon,2015,Alternative,0:04:55,61
100,THIQUE,Beyoncé,RENAISSANCE,2022,Pop,0:04:04,46
